SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Anas platyrhynchos x diazi/fulvigula,Mallard x Mexican/Mottled Duck (hybrid),y01098,hybrid,579.0,MEDU MODU MALL,ANDI ANFU ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas diazi x fulvigula,Mexican x Mottled Duck (hybrid),x00922,hybrid,580.0,MEDU MODU,ANDI ANFU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x bahamensis,Mallard x White-cheeked Pintail (hybrid),x00778,hybrid,590.0,WCHP WCPI MALL,ANBA ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas undulata x erythrorhyncha,Yellow-billed x Red-billed Duck (hybrid),x01222,hybrid,592.0,RBTE RBDU YBDU,ANER ANUN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas capensis x erythrorhyncha,Cape Teal x Red-billed Duck (hybrid),x01223,hybrid,593.0,CATE RBTE RBDU,ANER ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa x Anas acuta,Baikal Teal x Northern Pintail (hybrid),x00837,hybrid,595.0,BATE NOPI,ANAC SIFO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata x Anas acuta,Northern Shoveler x Northern Pintail (hybrid),x01180,hybrid,596.0,NSHO NOPI NOSH,SPCL ANAC,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera x Anas acuta,Gadwall x Northern Pintail (hybrid),x00610,hybrid,597.0,GADW NOPI,ANAC MAST,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope x Anas acuta,Eurasian Wigeon x Northern Pintail (hybrid),x00761,hybrid,598.0,NOPI EUWI,ANAC MAPE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana x Anas acuta,American Wigeon x Northern Pintail (hybrid),x00196,hybrid,599.0,AMWI NOPI,ANAC MAAM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa x acuta,Pacific Black Duck x Northern Pintail (hybrid),x01087,hybrid,600.0,GRDU PBDU NOPI,ANSU ANAC,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos x acuta,Mallard x Northern Pintail (hybrid),x00628,hybrid,601.0,NOPI MALL,ANAC ANPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas rubripes x acuta,American Black Duck x Northern Pintail (hybrid),x00674,hybrid,602.0,ABDU NOPI,ANAC ANRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
